#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
BLM,"Bloom syndrome protein; ATP-dependent DNA helicase that unwinds single- and double-stranded DNA in a 3'-5' direction. Participates in DNA replication and repair. Involved in 5'-end resection of DNA during double-strand break (DSB) repair: unwinds DNA and recruits DNA2 which mediates the cleavage of 5'-ssDNA. Negatively regulates sister chromatid exchange (SCE). Stimulates DNA 4-way junction branch migration and DNA Holliday junction dissolution. Binds single-stranded DNA (ssDNA), forked duplex DNA and DNA Holliday junction; RecQ like helicases"
BMP6,Bone morphogenetic protein 6; Induces cartilage and bone formation; Bone morphogenetic proteins
BRCA1,"Breast cancer type 1 susceptibility protein; E3 ubiquitin-protein ligase that specifically mediates the formation of 'Lys-6'-linked polyubiquitin chains and plays a central role in DNA repair by facilitating cellular responses to DNA damage. It is unclear whether it also mediates the formation of other types of polyubiquitin chains. The E3 ubiquitin-protein ligase activity is required for its tumor suppressor function. The BRCA1-BARD1 heterodimer coordinates a diverse range of cellular pathways such as DNA damage repair, ubiquitination and transcriptional regulation to maintain genomic [...] "
BTF3L4,Basic transcription factor 3 like 4; Belongs to the NAC-beta family
BUB1,"Mitotic checkpoint serine/threonine-protein kinase BUB1; Serine/threonine-protein kinase that performs 2 crucial functions during mitosis: it is essential for spindle-assembly checkpoint signaling and for correct chromosome alignment. Has a key role in the assembly of checkpoint proteins at the kinetochore, being required for the subsequent localization of CENPF, BUB1B, CENPE and MAD2L1. Required for the kinetochore localization of PLK1. Required for centromeric enrichment of AUKRB in prometaphase. Plays an important role in defining SGO1 localization and thereby affects sister chromat [...] "
BUB1B,"Mitotic checkpoint serine/threonine-protein kinase BUB1 beta; Essential component of the mitotic checkpoint. Required for normal mitosis progression. The mitotic checkpoint delays anaphase until all chromosomes are properly attached to the mitotic spindle. One of its checkpoint functions is to inhibit the activity of the anaphase-promoting complex/cyclosome (APC/C) by blocking the binding of CDC20 to APC/C, independently of its kinase activity. The other is to monitor kinetochore activities that depend on the kinetochore motor CENPE. Required for kinetochore localization of CENPE. Nega [...] "
C16orf59,Uncharacterized protein C16orf59; Chromosome 16 open reading frame 59
C16orf87,UPF0547 protein C16orf87; Chromosome 16 open reading frame 87; Belongs to the UPF0547 family
C17orf53,Uncharacterized protein C17orf53; Chromosome 17 open reading frame 53
C17orf75,Protein Njmu-R1; May have a role in spermatogenesis
C1orf112,Uncharacterized protein C1orf112; Chromosome 1 open reading frame 112
C1orf131,Uncharacterized protein C1orf131; Chromosome 1 open reading frame 131
C1orf43,Uncharacterized protein C1orf43; Chromosome 1 open reading frame 43
C2orf15,Uncharacterized protein C2orf15; Chromosome 2 open reading frame 15
C2orf47,"m-AAA protease-interacting protein 1, mitochondrial; Promotes sorting of SMDT1/EMRE in mitochondria by ensuring its maturation. Interacts with the transit peptide region of SMDT1/EMRE precursor protein in the mitochondrial matrix, leading to protect it against protein degradation by YME1L1, thereby ensuring SMDT1/EMRE maturation by the mitochondrial processing peptidase (PMPCA and PMPCB)"
C2orf48,Uncharacterized protein C2orf48; Chromosome 2 open reading frame 48
C3orf67,Uncharacterized protein C3orf67; Chromosome 3 open reading frame 67
C4orf46,Renal cancer differentiation gene 1 protein; Chromosome 4 open reading frame 46
C5orf30,UNC119-binding protein C5orf30; Probably plays a role in trafficking of proteins via its interaction with UNC119 and UNC119B cargo adapters: may help the release of UNC119 and UNC119B cargo or the recycling of UNC119 and UNC119B. May play a role in ciliary membrane localization via its interaction with UNC119B and protein transport into photoreceptor cells
C6orf62,Uncharacterized protein C6orf62; Chromosome 6 open reading frame 62
C8orf33,UPF0488 protein C8orf33; Chromosome 8 open reading frame 33; Belongs to the UPF0488 family
C9orf85,Uncharacterized protein C9orf85; Chromosome 9 open reading frame 85
CAMKV,CaM kinase-like vesicle-associated protein; Does not appear to have detectable kinase activity; Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family
CAPZA1,"F-actin-capping protein subunit alpha-1; F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments. May play a role in the formation of epithelial cell junctions"
CASC5,"Kinetochore scaffold 1; Performs two crucial functions during mitosis: it is essential for spindle-assembly checkpoint signaling and for correct chromosome alignment. Required for attachment of the kinetochores to the spindle microtubules. Directly links BUB1 and BUB1B to kinetochores. Part of the MIS12 complex, which may be fundamental for kinetochore formation and proper chromosome segregation during mitosis. Acts in coordination with CENPK to recruit the NDC80 complex to the outer kinetochore"
CASP3,"Caspase-3; Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop- helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage"
CASP8,"Caspase-8; Most upstream protease of the activation cascade of caspases responsible for the TNFRSF6/FAS mediated and TNFRSF1A induced cell death. Binding to the adapter molecule FADD recruits it to either receptor. The resulting aggregate called death- inducing signaling complex (DISC) performs CASP8 proteolytic activation. The active dimeric enzyme is then liberated from the DISC and free to activate downstream apoptotic proteases. Proteolytic fragments of the N-terminal propeptide (termed CAP3, CAP5 and CAP6) are likely retained in the DISC. Cleaves and activates CASP3, CASP4, CASP6, [...] "
CBX1,"Chromobox protein homolog 1; Component of heterochromatin. Recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression. Interaction with lamin B receptor (LBR) can contribute to the association of the heterochromatin with the inner nuclear membrane; Chromobox family"
CBX2,"Chromobox protein homolog 2; Component of a Polycomb group (PcG) multiprotein PRC1- like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility. Binds to histone H3 trimethylated at 'Lys-9' (H3K9me3) or at 'Lys-27' (H3K27me3) (By similarity). Plays a role in the lineage differentiation of the germ layers in [...] "
CBX3,"Chromobox protein homolog 3; Seems to be involved in transcriptional silencing in heterochromatin-like complexes. Recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression. May contribute to the association of the heterochromatin with the inner nuclear membrane through its interaction with lamin B receptor (LBR). Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins. Contributes to the conversion of local chromatin to a heterochromatin-like repressive state through H3 'Lys-9' trimethylation, mediates the  [...] "
CBX8,"Chromobox protein homolog 8; Component of a Polycomb group (PcG) multiprotein PRC1- like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility; Chromobox family"
CCDC160,Coiled-coil domain containing 160; Belongs to the CCDC160 family
CCDC18,Coiled-coil domain containing 18
CCDC34,Coiled-coil domain containing 34
CCDC43,Coiled-coil domain containing 43; Belongs to the CCDC43 family
CCDC51,Coiled-coil domain containing 51
CCNA2,Cyclin-A2; Cyclin which controls both the G1/S and the G2/M transition phases of the cell cycle. Functions through the formation of specific serine/threonine protein kinase holoenzyme complexes with the cyclin-dependent protein kinases CDK1 or CDK2. The cyclin subunit confers the substrate specificity of these complexes and differentially interacts with and activates CDK1 and CDK2 throughout the cell cycle; Cyclins
CCNB1,G2/mitotic-specific cyclin-B1; Essential for the control of the cell cycle at the G2/M (mitosis) transition; Belongs to the cyclin family. Cyclin AB subfamily
CCNB2,G2/mitotic-specific cyclin-B2; Essential for the control of the cell cycle at the G2/M (mitosis) transition; Belongs to the cyclin family. Cyclin AB subfamily
CCNE1,G1/S-specific cyclin-E1; Essential for the control of the cell cycle at the G1/S (start) transition; Belongs to the cyclin family. Cyclin E subfamily
CCNE2,G1/S-specific cyclin-E2; Essential for the control of the cell cycle at the late G1 and early S phase; Belongs to the cyclin family. Cyclin E subfamily
CCNF,"Cyclin-F; Substrate recognition component of a SCF (SKP1-CUL1-F- box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of CP110 during G2 phase, thereby acting as an inhibitor of centrosome reduplication; Belongs to the cyclin family. Cyclin AB subfamily"
CCT2,"T-complex protein 1 subunit beta; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. As part of the BBS/CCT complex may play a role in the assembly of BBSome, a complex involved in ciliogenesis regulating transports vesicles to the cilia. Known to play a role, in vitro, in the folding of actin and tubulin; Chaperonins"
CCT4,"T-complex protein 1 subunit delta; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. As part of the BBS/CCT complex may play a role in the assembly of BBSome, a complex involved in ciliogenesis regulating transports vesicles to the cilia. Known to play a role, in vitro, in the folding of actin and tubulin; Chaperonins"
CCT5,"T-complex protein 1 subunit epsilon; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. As part of the BBS/CCT complex may play a role in the assembly of BBSome, a complex involved in ciliogenesis regulating transports vesicles to the cilia. Known to play a role, in vitro, in the folding of actin and tubulin; Chaperonins"
CCT6A,"T-complex protein 1 subunit zeta; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. Known to play a role, in vitro, in the folding of actin and tubulin; Belongs to the TCP-1 chaperonin family"
CCT8,"T-complex protein 1 subunit theta; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. As part of the BBS/CCT complex may play a role in the assembly of BBSome, a complex involved in ciliogenesis regulating transports vesicles to the cilia. Known to play a role, in vitro, in the folding of actin and tubulin; Belongs to the TCP-1 chaperonin family"
CDC20,Cell division cycle protein 20 homolog; Required for full ubiquitin ligase activity of the anaphase promoting complex/cyclosome (APC/C) and may confer substrate specificity upon the complex. Is regulated by MAD2L1: in metaphase the MAD2L1-CDC20-APC/C ternary complex is inactive and in anaphase the CDC20-APC/C binary complex is active in degrading substrates. The CDC20-APC/C complex positively regulates the formation of synaptic vesicle clustering at active zone to the presynaptic membrane in postmitotic neurons. CDC20-APC/C-induced degradation of NEUROD2 induces presynaptic differentia [...] 
CDC25A,"M-phase inducer phosphatase 1; Tyrosine protein phosphatase which functions as a dosage-dependent inducer of mitotic progression. Directly dephosphorylates CDK1 and stimulates its kinase activity. Also dephosphorylates CDK2 in complex with cyclin E, in vitro; Class III Cys-based CDC25 phosphatases"
CDC25C,"M-phase inducer phosphatase 3; Functions as a dosage-dependent inducer in mitotic control. Tyrosine protein phosphatase required for progression of the cell cycle. When phosphorylated, highly effective in activating G2 cells into prophase. Directly dephosphorylates CDK1 and activates its kinase activity"
CDC45,Cell division control protein 45 homolog; Required for initiation of chromosomal DNA replication
CDC6,Cell division control protein 6 homolog; Involved in the initiation of DNA replication. Also participates in checkpoint controls that ensure DNA replication is completed before mitosis is initiated
CDC7,Cell division cycle 7-related protein kinase; Seems to phosphorylate critical substrates that regulate the G1/S phase transition and/or DNA replication. Can phosphorylates MCM2 and MCM3
CDCA2,"Cell division cycle-associated protein 2; Regulator of chromosome structure during mitosis required for condensin-depleted chromosomes to retain their compact architecture through anaphase. Acts by mediating the recruitment of phopsphatase PP1-gamma subunit (PPP1CC) to chromatin at anaphase and into the following interphase. At anaphase onset, its association with chromatin targets a pool of PPP1CC to dephosphorylate substrates; Protein phosphatase 1 regulatory subunits"
CDCA3,Cell division cycle-associated protein 3; F-box-like protein which is required for entry into mitosis. Acts by participating in E3 ligase complexes that mediate the ubiquitination and degradation of WEE1 kinase at G2/M phase (By similarity)
CDCA4,Cell division cycle-associated protein 4; May participate in the regulation of cell proliferation through the E2F/RB pathway. May be involved in molecular regulation of hematopoietic stem cells and progenitor cell lineage commitment and differentiation (By similarity)
CDCA5,Sororin; Regulator of sister chromatid cohesion in mitosis stabilizing cohesin complex association with chromatin. May antagonize the action of WAPL which stimulates cohesin dissociation from chromatin. Cohesion ensures that chromosome partitioning is accurate in both meiotic and mitotic cells and plays an important role in DNA repair. Required for efficient DNA double-stranded break repair; Belongs to the sororin family
CDCA8,"Borealin; Component of the chromosomal passenger complex (CPC), a complex that acts as a key regulator of mitosis. The CPC complex has essential functions at the centromere in ensuring correct chromosome alignment and segregation and is required for chromatin-induced microtubule stabilization and spindle assembly. Major effector of the TTK kinase in the control of attachment- error-correction and chromosome alignment"
CDK1,"Cyclin-dependent kinase 1; Plays a key role in the control of the eukaryotic cell cycle by modulating the centrosome cycle as well as mitotic onset; promotes G2-M transition, and regulates G1 progress and G1-S transition via association with multiple interphase cyclins. Required in higher cells for entry into S-phase and mitosis. Phosphorylates PARVA/actopaxin, APC, AMPH, APC, BARD1, Bcl- xL/BCL2L1, BRCA2, CALD1, CASP8, CDC7, CDC20, CDC25A, CDC25C, CC2D1A, CENPA, CSNK2 proteins/CKII, FZR1/CDH1, CDK7, CEBPB, CHAMP1, DMD/dystrophin, EEF1 proteins/EF-1, EZH2, KIF11/EG5, EGFR, FANCG, FOS,  [...] "
CDK2,"Cyclin-dependent kinase 2; Serine/threonine-protein kinase involved in the control of the cell cycle; essential for meiosis, but dispensable for mitosis. Phosphorylates CTNNB1, USP37, p53/TP53, NPM1, CDK7, RB1, BRCA2, MYC, NPAT, EZH2. Triggers duplication of centrosomes and DNA. Acts at the G1-S transition to promote the E2F transcriptional program and the initiation of DNA synthesis, and modulates G2 progression; controls the timing of entry into mitosis/meiosis by controlling the subsequent activation of cyclin B/CDK1 by phosphorylation, and coordinates the activation of cyclin B/CDK [...] "
CDK2AP1,Cyclin-dependent kinase 2-associated protein 1; Specific inhibitor of the cell-cycle kinase CDK2
CDK5R1,Cyclin-dependent kinase 5 activator 1; P35 is a neuron specific activator of CDK5. The complex p35/CDK5 is required for neurite outgrowth and cortical lamination. Involved in dendritic spine morphogenesis by mediating the EFNA1-EPHA4 signaling. Activator of TPKII. The complex p35/CDK5 participates in the regulation of the circadian clock by modulating the function of CLOCK protein: phosphorylates CLOCK at 'Thr-451' and 'Thr-461' and regulates the transcriptional activity of the CLOCK-ARNTL/BMAL1 heterodimer in association with altered stability and subcellular distribution
CDKN2C,"Cyclin-dependent kinase 4 inhibitor C; Interacts strongly with CDK6, weakly with CDK4. Inhibits cell growth and proliferation with a correlated dependence on endogenous retinoblastoma protein RB; Belongs to the CDKN2 cyclin-dependent kinase inhibitor family"
CDKN3,Cyclin-dependent kinase inhibitor 3; May play a role in cell cycle regulation. Dual specificity phosphatase active toward substrates containing either phosphotyrosine or phosphoserine residues. Dephosphorylates CDK2 at 'Thr-160' in a cyclin-dependent manner; CDC14 phosphatases
CDT1,"DNA replication factor Cdt1; Required for both DNA replication and mitosis. DNA replication licensing factor, required for pre-replication complex assembly. Cooperates with CDC6 and the origin recognition complex (ORC) during G1 phase of the cell cycle to promote the loading of the mini-chromosome maintenance (MCM) complex onto DNA to generate pre-replication complexes (pre- RC). Required also for mitose by promoting stable kinetochore-microtubule attachments. Potential oncogene (By similarity); Belongs to the Cdt1 family"
CELSR3,Cadherin EGF LAG seven-pass G-type receptor 3; Receptor that may have an important role in cell/cell signaling during nervous system formation; Belongs to the G-protein coupled receptor 2 family. LN-TM7 subfamily
CENPA,Histone H3-like centromeric protein A; Histone H3-like nucleosomal protein that is specifically found in centromeric nucleosomes. Replaces conventional H3 in the nucleosome core of centromeric chromatin at the inner plate of the kinetochore. The presence of CENPA subtly modifies the nucleosome structure and the way DNA is wrapped around the nucleosome and gives rise to protruding DNA ends that are less well-ordered and rigid compared to nucleosomes containing histone H3. May serve as an epigenetic mark that propagates centromere identity through replication and cell division. Required  [...] 
CENPE,"Centromere-associated protein E; Microtubule plus-end-directed kinetochore motor which plays an important role in chromosome congression, microtubule- kinetochore conjugation and spindle assembly checkpoint activation. Drives chromosome congression (alignment of chromosomes at the spindle equator resulting in the formation of the metaphase plate) by mediating the lateral sliding of polar chromosomes along spindle microtubules towards the spindle equator and by aiding the establishment and maintenance of connections between kinetochores and spindle microtubules. The transport of pole-pr [...] "
CENPF,"Centromere protein F; Required for kinetochore function and chromosome segregation in mitosis. Required for kinetochore localization of dynein, LIS1, NDE1 and NDEL1. Regulates recycling of the plasma membrane by acting as a link between recycling vesicles and the microtubule network though its association with STX4 and SNAP25. Acts as a potential inhibitor of pocket protein-mediated cellular processes during development by regulating the activity of RB proteins during cell division and proliferation. May play a regulatory or permissive role in the normal embryonic cardiomyocyte cell cy [...] "
CENPH,"Centromere protein H; Component of the CENPA-NAC (nucleosome-associated) complex, a complex that plays a central role in assembly of kinetochore proteins, mitotic progression and chromosome segregation. The CENPA-NAC complex recruits the CENPA-CAD (nucleosome distal) complex and may be involved in incorporation of newly synthesized CENPA into centromeres. Required for chromosome congression and efficiently align the chromosomes on a metaphase plate"
CENPI,"Centromere protein I; Component of the CENPA-CAD (nucleosome distal) complex, a complex recruited to centromeres which is involved in assembly of kinetochore proteins, mitotic progression and chromosome segregation. May be involved in incorporation of newly synthesized CENPA into centromeres via its interaction with the CENPA-NAC complex. Required for the localization of CENPF, MAD1L1 and MAD2 (MAD2L1 or MAD2L2) to kinetochores. Involved in the response of gonadal tissues to follicle-stimulating hormone; Constitutive centromere associated network"
CENPK,"Centromere protein K; Component of the CENPA-CAD (nucleosome distal) complex, a complex recruited to centromeres which is involved in assembly of kinetochore proteins, mitotic progression and chromosome segregation. May be involved in incorporation of newly synthesized CENPA into centromeres via its interaction with the CENPA-NAC complex. Acts in coordination with KNL1 to recruit the NDC80 complex to the outer kinetochore; Belongs to the CENPK family"
CENPM,"Centromere protein M; Component of the CENPA-NAC (nucleosome-associated) complex, a complex that plays a central role in assembly of kinetochore proteins, mitotic progression and chromosome segregation. The CENPA-NAC complex recruits the CENPA-CAD (nucleosome distal) complex and may be involved in incorporation of newly synthesized CENPA into centromeres"
CENPU,"Centromere protein U; Component of the CENPA-NAC (nucleosome-associated) complex, a complex that plays a central role in assembly of kinetochore proteins, mitotic progression and chromosome segregation. The CENPA-NAC complex recruits the CENPA-CAD (nucleosome distal) complex and may be involved in incorporation of newly synthesized CENPA into centromeres. Plays an important role in the correct PLK1 localization to the mitotic kinetochores. A scaffold protein responsible for the initial recruitment and maintenance of the kinetochore PLK1 population until its degradation. Involved in tra [...] "
CENPW,Constitutive centromere associated network
